,ApplicationID,LicenseNumber,LicenseType,ApplicationorRenewal,BusinessName,Status,StartDate,EndDate,LicenseCategory,ApplicationCategory,Street,City,Zip,ContactPhone,LicenseExpirationDate,LicenseStatus,LicenseCreationDate
118634,32784-2016-RHIC,1415272-DCA,Business,Renewal,TOSCANO FLOOR DESIGN LLC,Issued,01/09/2017,01/10/2017,Home Improvement Contractor,Special,24TH ST,LONG IS CITY,11101,6464900098,02/28/2021,Active,12/07/2011
107358,1318-2017-RHIC,2011749-DCA,Business,Renewal,"WASEEM, MUHAMMAD",Issued,01/10/2017,01/11/2017,Home Improvement Contractor,Special,17TH AVE,BROOKLYN,11214,7182000973,02/28/2021,Active,08/07/2014
122080,497-2019-RHIC,1214864-DCA,Business,Renewal,DLJ HOME REMODELING INC.,Issued,01/04/2019,01/05/2019,Home Improvement Contractor,Special,114TH ST,SOUTH OZONE PARK,11420,7188434445,02/28/2021,Active,07/27/2007
156699,28223-2016-ASHG,2047159-DCA,Business,Application,"FARAJIAN, NASIM",Issued,12/27/2016,01/07/2017,Secondhand Dealer - General,Basic,FULTON ST,BROOKLYN,11201,7188021892,07/31/2021,Active,01/06/2017
97307,15662-2016-RHIC,1267144-DCA,Business,Renewal,KWAN BAE KIM,Issued,01/06/2017,01/07/2017,Home Improvement Contractor,Special,PORT WASHINGTON BLVD,PORT WASHINGTON,11050,5167679536,02/28/2019,Inactive,09/07/2007
134857,33484-2016-RELE,1379892-DCA,Business,Renewal,T-MOBILE NORTHEAST LLC,Issued,01/06/2017,01/07/2017,Electronics Store,Basic,HILLSIDE AVE,HOLLIS,11423,3026368910,12/31/2018,Inactive,12/31/2010
20105,20272-2017-ALAU,2064477-DCA,Business,Application,NEXTCLEANERS VALET LLC,Issued,12/28/2017,01/06/2018,Laundries,Basic,JOHN ST,NEW YORK,10038,91725198261,12/31/2019,Inactive,01/05/2018
109675,944-2017-RELE,0898335-DCA,Business,Renewal,"DUDDY'S ELECTRONICS & APPLIANCE CENTER, INC.",Issued,01/06/2017,01/07/2017,Electronics Store,Basic,14TH AVE,BROOKLYN,11219,718-851-9400,12/31/2020,Active,12/02/1994
55909,18797-2019-RADO,2010725-DCA,Business,Renewal,"BILLMAR AMUSEMENTS N.Y. PARTY WORKS, INC.",Issued,04/26/2019,04/27/2019,Amusement Device Portable,Special,W JEFRYN BLVD,DEER PARK,11729,6315011414,03/15/2020,Active,07/16/2014
55059,18969-2019-RHIC,2016506-DCA,Business,Renewal,EDEN CONSTRUCTION INC,Issued,04/30/2019,05/01/2019,Home Improvement Contractor,Special,LUTZ DR,VALLEY STREAM,11580,646857510,02/28/2021,Active,12/16/2014
135958,33812-2018-RDPD,1104838-DCA,Business,Renewal,"DOME INTERNATIONAL, INC.",Issued,12/27/2018,01/05/2019,Dealer In Products,Basic,15TH ST,BROOKLYN,11215,7188545500,03/15/2021,Active,03/28/2002
160309,826-2019-RHIC,1307961-DCA,Business,Renewal,OSC RENOVATIONS LLC,Issued,01/07/2019,01/08/2019,Home Improvement Contractor,Special,76TH ST,EAST ELMHURST,11370,7186147732,02/28/2021,Active,01/23/2009
122823,1487-2017-RHIC,1394218-DCA,Business,Renewal,FPA CONSTRUCTION INC,Issued,01/11/2017,01/12/2017,Home Improvement Contractor,Special,108TH ST,CORONA,11368,9176273104,02/28/2021,Active,05/27/2011
46983,1470-2017-RHIC,1390581-DCA,Business,Renewal,"HINES & ZAFFARESE LANDSCAPING, INC.",Issued,01/11/2017,01/12/2017,Home Improvement Contractor,Special,BROADWAY,NEW HYDE PARK,11040,5167473095,02/28/2021,Active,05/04/2011
2370,563-2017-RDEB,2017474-DCA,Business,Renewal,"Edgewater Consulting Group, LLC",Issued,01/05/2017,01/06/2017,Debt Collection Agency,Basic,E FORT LOWELL RD,TUCSON,85712,2538357341,01/31/2021,Active,01/21/2015
190867,1014-2017-RELE,1432971-DCA,Business,Renewal,NEXT LEVEL ELECTRONICS INC,Issued,01/07/2017,01/12/2017,Electronics Store,Basic,E 167TH ST,BRONX,10456,7184108200,12/31/2020,Active,06/06/2012
15454,17692-2017-ALAU,2064468-DCA,Business,Application,NY CITY LAUNDROMAT 1 INC.,Issued,11/22/2017,01/06/2018,Laundries,Basic,EVERGREEN AVE,BROOKLYN,11221,9173788382,12/31/2021,Active,01/05/2018
48203,1073-2017-RDEB,1464323-DCA,Business,Renewal,"FIVE LAKES AGENCY, INC.",Issued,01/09/2017,01/10/2017,Debt Collection Agency,Basic,TOWER DR,TROY,48098,8558241000,01/31/2019,Inactive,05/07/2013
111739,819-2019-RDPD,1377544-DCA,Business,Renewal,"DBG SECURITY DRUGS, INC.",Issued,01/07/2019,01/08/2019,Dealer In Products,Basic,BOSTON RD,BRONX,10469,7186546974,03/15/2021,Active,03/19/2012
24330,20252-2017-ALAU,2064687-DCA,Business,Application,"WAVE WIZARD, LLC",Issued,12/28/2017,01/10/2018,Laundries,Basic,W 6TH ST,BROOKLYN,11223,347-374-3233,12/31/2021,Active,01/09/2018
125266,2641-2017-RHIC,1074900-DCA,Business,Renewal,"FORTUNE, STEPHEN L.",Issued,01/18/2017,01/19/2017,Home Improvement Contractor,Special,E 87TH ST,BROOKLYN,11236,347-678-4014,02/28/2021,Active,03/15/2001
50968,1295-2017-RHIC,1314375-DCA,Business,Renewal,"JUDITH MILLS-JOHNSON, INC.",Issued,01/10/2017,01/11/2017,Home Improvement Contractor,Special,FANSHAW AVE,YONKERS,10705,9149680181,02/28/2019,Inactive,04/15/2009
179667,581-2017-RHIC,2029110-DCA,Business,Renewal,AVS CONSTRUCTION CORP,Issued,01/05/2017,01/06/2017,Home Improvement Contractor,Special,115TH ST,SOUTH OZONE PARK,11420,9173373215,02/28/2021,Active,10/02/2015
161400,569-2017-RELE,2002388-DCA,Business,Renewal,cell nation of queens inc,Issued,01/05/2017,01/06/2017,Electronics Store,Basic,SUTPHIN BLVD,JAMAICA,11435,6319430014,12/31/2020,Active,01/08/2014
111700,857-2017-RHIC,1255941-DCA,Business,Renewal,"MARJORIE HERSCHLER, INC.",Issued,01/06/2017,01/07/2017,Home Improvement Contractor,Special,147TH ST,JAMAICA,11436,6468521340,02/28/2021,Active,05/18/2007
183572,30959-2016-RHIC,2028628-DCA,Business,Renewal,PEDRO SANTOS,Issued,12/15/2016,01/10/2017,Home Improvement Contractor,Special,HOLLIS AVE,QUEENS VILLAGE,11429,917-239-4022,02/28/2021,Active,09/21/2015
167444,1508-2017-RHIC,1161627-DCA,Business,Renewal,"TSADIALS, SPIROS",Issued,01/11/2017,01/12/2017,Home Improvement Contractor,Special,163RD ST,FRESH MEADOWS,11365,7184452126,02/28/2021,Active,03/22/2004
11582,2257-2018-AECD,2069319-1-DCA,Business,Application,YORKK DELI & GROCERY INC.,Issued,02/09/2018,04/13/2018,Electronic Cigarette Dealer,Basic,YORK AVE,NEW YORK,10128,917-690-3268,11/30/2021,Active,04/12/2018
39552,6634-2018-AECD,2072997-1-DCA,Business,Application,825 TONY DELI GROCERY CORP.,Issued,04/04/2018,06/10/2018,Electronic Cigarette Dealer,Basic,WESTCHESTER AVE,BRONX,10455,917-455-5595,11/30/2019,Inactive,06/09/2018
123175,12344-2017-AHIC,2057851-DCA,Business,Application,NY GENERAL BUILDERS CORP.,Issued,08/30/2017,09/06/2017,Home Improvement Contractor,Special,KIRSHON AVE,STATEN ISLAND,10314,718-304-6903,02/28/2019,Inactive,09/05/2017
10360,1165-2017-RDEB,1383850-DCA,Business,Renewal,"SACOR FINANCIAL, INC.",Issued,01/09/2017,01/12/2017,Debt Collection Agency,Basic,DOUGLAS BLVD,ROSEVILLE,95661,9167733500,01/31/2021,Active,03/03/2011
171303,17710-2019-RADO,2069569-DCA,Business,Renewal,"CARNIVAL GUYS NY, INC.",Issued,04/12/2019,04/13/2019,Amusement Device Portable,Special,BEARD ST,STATEN ISLAND,10314,718-877-0854,03/15/2020,Active,04/17/2018
99262,33503-2016-RHIC,1164167-DCA,Business,Renewal,LOTUS METROPOLITAN CONSTRUCTION CORP.,Issued,12/30/2016,12/31/2016,Home Improvement Contractor,Special,OCEAN PKWY,BROOKLYN,11218,9178079600,02/28/2021,Active,04/21/2004
111759,586-2017-RELE,2030527-DCA,Business,Renewal,T-MOBILE NORTHEAST LLC,Issued,01/05/2017,01/06/2017,Electronics Store,Basic,BROADWAY,NEW YORK,10036,3026368910,12/31/2020,Active,11/17/2015
167726,18900-2019-RHIC,1266766-DCA,Business,Renewal,TSAKSOS RESTORATION INC.,Issued,04/30/2019,05/01/2019,Home Improvement Contractor,Special,76TH ST,EAST ELMHURST,11370,7189569856,02/28/2021,Active,09/04/2007
104876,2871-2019-AELE,2083481-DCA,Business,Application,ROCKAWAY MINI MALL INC,Issued,03/19/2019,03/21/2019,Electronics Store,Basic,ROCKAWAY AVE,BROOKLYN,11212,6462904351,12/31/2020,Active,03/20/2019
27570,8892-2018-RTTC,2019358-DCA,Business,Renewal,56 ST AUTO REPAIR INC,Issued,05/29/2018,01/08/2019,Tow Truck Company,Special,56TH ST,BROOKLYN,11220,7182549250,04/30/2020,Inactive,03/11/2015
116583,33402-2016-RELE,1235548-DCA,Business,Renewal,"ELECTRONICA IN QUEENS, INC.",Issued,12/29/2016,01/06/2017,Electronics Store,Basic,ROOSEVELT AVE,JACKSON HTS,11372,7184243975,12/31/2018,Inactive,08/10/2006
133615,24949-2017-RSHA,2035494-DCA,Business,Renewal,"BAY RIDGE AUTOMOTIVE COMPANY, LLC",Denied,08/03/2017,09/03/2017,Secondhand Dealer - Auto,Basic,86TH ST,BROOKLYN,11228,3475787900,07/31/2017,Inactive,04/04/2016
15227,50-2017-RDEB,1258805-DCA,Business,Renewal,"A.A. ACTION COLLECTION CO., INC.",Issued,01/09/2017,01/10/2017,Debt Collection Agency,Basic,COLUMBIA TPKE,FLORHAM PARK,07932,9737400044,01/31/2021,Active,06/14/2007
142814,1289-2017-RHIC,2016377-DCA,Business,Renewal,E&V HOME REPAIRS INC,Issued,01/10/2017,01/11/2017,Home Improvement Contractor,Special,W 204TH ST,NEW YORK,10034,9173315570,02/28/2021,Active,12/11/2014
16647,14633-2019-RDEB,1388953-DCA,Business,Renewal,GOLDSTEIN & DUN ASSOCIATES LTD.,Issued,03/25/2019,03/26/2019,Debt Collection Agency,Basic,RESEARCH DR,SHELTON,06484,2038805553,01/31/2021,Active,04/13/2011
169282,18965-2019-RPWN,2022112-DCA,Business,Renewal,STOP N PAWN INC,Issued,04/30/2019,05/01/2019,Pawnbroker,Basic,86TH ST,BROOKLYN,11209,646-996-6496,04/30/2020,Active,05/04/2015
106325,18893-2019-RADO,1315202-DCA,Business,Renewal,"BILLMAR AMUSEMENTS N.Y. PARTY WORKS, INC.",Issued,04/30/2019,05/01/2019,Amusement Device Portable,Special,W JEFRYN BLVD,DEER PARK,11729,6315011414,03/15/2020,Active,04/22/2009
43270,679-2017-RDEB,1382654-DCA,Business,Renewal,"HARVARD COLLECTION SERVICES, INC.",Issued,01/05/2017,01/06/2017,Debt Collection Agency,Basic,N ELSTON AVE,CHICAGO,60630,773-283-7500,01/31/2021,Active,02/05/2013
119527,669-2017-RHIC,1191367-DCA,Business,Renewal,ARI GROUP INC.,Issued,01/05/2017,01/12/2017,Home Improvement Contractor,Special,W 30TH ST,NEW YORK,10001,2125025353,02/28/2021,Active,07/10/2007
45166,31056-2017-RSWC,1459574-DCA,Business,Renewal,NOISETTE CAFE INC.,Issued,12/22/2017,12/22/2017,Sidewalk Cafe,Special,STEINWAY ST,ASTORIA,11103,7182190704,12/15/2019,Inactive,03/12/2013
198466,24491-2014-RCRD,1474864-DCA,Business,Renewal,"ROY, JOYA",Issued,11/14/2014,12/06/2014,Tobacco Retail Dealer,Basic,WEST   42 STREET,NEW YORK,10018,609-233-9543,12/31/2020,Active,10/04/2013
99419,12922-2016-RNWS,0833841-DCA,Business,Renewal,"PARK, YOUNG RAN",Issued,09/26/2016,09/27/2016,Newsstand,Special,BROADWAY,NEW YORK,10003,201-812-2911,09/30/2018,Inactive,11/17/2000
128022,12364-2018-AELE,2076401-DCA,Business,Application,"PEAVY, ANITA",Issued,07/24/2018,08/01/2018,Electronics Store,Basic,UTICA AVE,BROOKLYN,11213,3478792686,12/31/2020,Active,07/31/2018
43692,7059-2018-AHIC,2071081-DCA,Business,Application,WOODANDCOMPANY LLC,Issued,05/12/2018,05/13/2018,Home Improvement Contractor,Special,S 2ND ST,RONKONKOMA,11779,631 235-2179,02/28/2021,Active,05/12/2018
118256,30850-2016-RHIC,2009435-DCA,Business,Renewal,New Era Consulting Group Inc,Issued,12/15/2016,01/12/2017,Home Improvement Contractor,Special,BRIGHTON 8TH ST,BROOKLYN,11235,7187432066,02/28/2021,Active,06/10/2014
187155,10-2019-RDPD,1379733-DCA,Business,Renewal,"BARON HOSPITAL MEDICAL SUPPLY, INC.",Issued,01/01/2019,01/08/2019,Dealer In Products,Basic,FRANKLIN AVE,BROOKLYN,11205,718-486-6164,03/15/2021,Active,12/30/2010
187812,18927-2019-RHIC,1163835-DCA,Business,Renewal,"RAPID CONTRACTING, INC",Issued,04/30/2019,05/01/2019,Home Improvement Contractor,Special,45TH ST,BROOKLYN,11219,7188514249,02/28/2021,Active,12/05/2007
136385,34451-2018-RELE,1442593-DCA,Business,Renewal,"GUITAR CENTER STORES, INC.",Issued,12/31/2018,01/08/2019,Electronics Store,Basic,W 14TH ST,NEW YORK,10011,212-463-7500,12/31/2020,Active,08/27/2012
124223,531-2019-RDPD,1176636-DCA,Business,Renewal,"HYLAN MEDICINE CABINET, INC.",Issued,01/04/2019,01/05/2019,Dealer In Products,Basic,HYLAN BLVD,STATEN ISLAND,10306,7186674300,03/15/2021,Active,08/10/2004
193687,3163-2019-AHIC,2085260-DCA,Business,Application,VALENTINA'S CONTRACTING & MAINTENANCE CORP,Issued,04/30/2019,05/01/2019,Home Improvement Contractor,Special,158TH AVE,HOWARD BEACH,11414,7186828002,02/28/2021,Active,04/30/2019
109704,795-2017-RHIC,2039392-DCA,Business,Renewal,DREAM CITY CONSTRUCTION & DEVELOPMENT INC,Issued,01/06/2017,01/07/2017,Home Improvement Contractor,Special,70TH ST,GLENDALE,11385,7186280312,02/28/2021,Active,06/23/2016
156899,11108-2017-AEHD,2057873-DCA,Business,Application,APNA CELL COMPUTERS & ELECTRONICS INC,Issued,08/31/2017,09/07/2017,Electronic & Appliance Service,Basic,ROOSEVELT AVE,JACKSON HEIGHTS,11372,7188981948,06/30/2018,Inactive,09/06/2017
131783,15690-2016-RHIC,1113869-DCA,Business,Renewal,"MERIDIAN SERVICES, INC.",Issued,01/09/2017,01/10/2017,Home Improvement Contractor,Special,128TH AVE,ROSEDALE,11422,7183418665,02/28/2021,Active,06/18/2002
47901,33632-2016-RDEB,2029733-DCA,Business,Renewal,"Debt Management Holdings, LLC",Issued,01/09/2017,01/10/2017,Debt Collection Agency,Basic,DELAWARE AVE,BUFFALO,14202,7169973553,01/31/2019,Inactive,10/22/2015
105267,31994-2016-RDEB,1294062-DCA,Business,Renewal,"PALISADES ACQUISITION XVI, LLC",Issued,01/10/2017,01/11/2017,Debt Collection Agency,Basic,SYLVAN AVE,ENGLEWOOD CLIFFS,07632,2015675648,01/31/2021,Active,01/29/2013
121417,28156-2016-AEHD,2047153-DCA,Business,Application,NEW YORK SOUND & SECURITY LLC,Issued,12/09/2016,01/07/2017,Electronic & Appliance Service,Basic,ATLANTIC AVE,WOODHAVEN,11421,347-600-5878,06/30/2020,Active,01/06/2017
40026,11364-2017-AHIC,2057839-DCA,Business,Application,SMART HOME ENERGY SOURCE LLC,Issued,08/21/2017,09/06/2017,Home Improvement Contractor,Special,SMITH RD,SHIRLEY,11967,631-398-3574,02/28/2021,Active,09/05/2017
54911,2904-2019-AHIC,2085179-DCA,Business,Application,ALL STAR INSTALLER CORP,Issued,04/25/2019,04/26/2019,Home Improvement Contractor,Special,MASON CT,W HEMPSTEAD,11552,3479528110,02/28/2021,Active,04/25/2019
132391,18673-2019-RHIC,1453862-DCA,Business,Renewal,INTERIA DEVELOPMENT LLC,Issued,04/26/2019,04/27/2019,Home Improvement Contractor,Special,E 6TH ST,NEW YORK,10009,9178555428,02/28/2021,Active,01/15/2013
119610,18580-2019-RHIC,2061182-DCA,Business,Renewal,"HUISSAIN, MUKURAM",Issued,04/25/2019,04/26/2019,Home Improvement Contractor,Special,81ST ST,OZONE PARK,11416,3475286058,02/28/2021,Active,11/20/2017
184270,11715-2016-ACRD,2042527-1-DCA,Business,Application,DUANE READE,Issued,08/16/2016,08/18/2016,Tobacco Retail Dealer,Basic,GREENWICH ST,NEW YORK,10007,847-527-4516,12/31/2018,Inactive,08/17/2016
176979,28062-2016-AHIC,2047079-DCA,Business,Application,METRO STANDARDS INC,Issued,12/05/2016,01/06/2017,Home Improvement Contractor,Special,E 7TH ST,BROOKLYN,11235,3474391499,02/28/2021,Active,01/05/2017
118783,422-2019-RHIC,2050127-DCA,Business,Renewal,ARTISAN PAINTING CORP,Issued,01/03/2019,01/04/2019,Home Improvement Contractor,Special,W 5TH ST,BROOKLYN,11223,9175190298,02/28/2021,Active,03/27/2017
134246,24854-2016-RHIC,2003509-DCA,Business,Renewal,E. ROCHA CONSTRUCTION CORP,Issued,01/11/2017,01/12/2017,Home Improvement Contractor,Special,FISHER AVE,STATEN ISLAND,10307,7189660951,02/28/2021,Active,02/12/2014
160046,674-2017-RDEB,0889064-DCA,Business,Renewal,"HEALTHCARE COLLECTION SPECIALISTS, INC.",Issued,01/09/2017,01/10/2017,Debt Collection Agency,Basic,FRANKLIN TPKE,WALDWICK,07463,2014476789,01/31/2021,Active,01/17/1997
48140,1218-2017-RDEB,1424140-DCA,Business,Renewal,NATIONSTAR MORTGAGE LLC,Issued,01/09/2017,01/12/2017,Debt Collection Agency,Basic,CYPRESS WATERS BLVD,COPPELL,75019,4695492000,01/31/2021,Active,04/05/2012
175702,805-2019-RHIC,2017546-DCA,Business,Renewal,QUICKSILVER FOX LLC,Issued,01/07/2019,01/10/2019,Home Improvement Contractor,Special,E 4TH ST,NEW YORK,10009,9176973934,02/28/2021,Active,01/23/2015
150353,16121-2016-RELE,2030214-DCA,Business,Renewal,CROWN HEIGHTS WIRELESS INC.,Issued,01/09/2017,01/10/2017,Electronics Store,Basic,FRANKLIN AVE,BROOKLYN,11238,7185522877,12/31/2020,Active,11/06/2015
182001,24942-2017-RSHG,1473003-DCA,Business,Renewal,J & A AUTO CENTER INC,Denied,08/03/2017,09/03/2017,Secondhand Dealer - General,Basic,CYRUS PL,BRONX,10458,9178011391,07/31/2017,Inactive,09/13/2013
175531,33587-2016-RELE,1379850-DCA,Business,Renewal,T-MOBILE NORTHEAST LLC,Issued,12/30/2016,01/07/2017,Electronics Store,Basic,JAMAICA AVE,HOLLIS,11423,3026368910,12/31/2018,Inactive,12/31/2010
47340,1160-2017-RDEB,2000796-DCA,Business,Renewal,LEGACY ASSET MANAGEMENT CAPITAL LLC,Issued,01/09/2017,01/10/2017,Debt Collection Agency,Basic,SPRUCE ST,CEDARHURST,11516,2125967520,01/31/2019,Inactive,11/18/2013
107761,12759-2017-RDPD,1134201-DCA,Business,Renewal,"ENESLOW PEDORTHIC ENTERPRISES, INC.",Issued,03/09/2017,03/10/2017,Dealer In Products,Basic,PARK AVE S,NEW YORK,10016,2124772300,03/15/2021,Active,04/08/2003
173951,19043-2019-RPWN,2011772-DCA,Business,Renewal,"SAN MARTIN JEWELRY & PAWNSHOP, INC",Issued,05/01/2019,05/02/2019,Pawnbroker,Basic,BROADWAY,NEW YORK,10031,2124914653,04/30/2020,Active,08/08/2014
143645,990-2017-RELE,2025871-DCA,Business,Renewal,Onetel Store Inc,Issued,01/06/2017,01/12/2017,Electronics Store,Basic,MAIN ST,FLUSHING,11355,7185107000,12/31/2018,Inactive,07/20/2015
8937,1099-2017-RHIC,1076031-DCA,Business,Renewal,LANDMARK HOME IMPROVEMENTS INC.,Issued,01/09/2017,01/10/2017,Home Improvement Contractor,Special,WEST BLVD,EAST ROCKAWAY,11518,5169469939,02/28/2021,Active,03/23/2001
141785,33647-2016-RELE,1343449-DCA,Business,Renewal,T-MOBILE NORTHEAST LLC,Issued,12/30/2016,01/07/2017,Electronics Store,Basic,JAMAICA AVE,JAMAICA,11432,800-927-9801,12/31/2020,Active,01/22/2010
194252,32544-2016-RELE,2017737-DCA,Business,Renewal,"EBEN-EZER WINNER WIRELESS VIDEO, INC",Issued,12/22/2016,01/11/2017,Electronics Store,Basic,FORT HAMILTON PKWY,BROOKLYN,11219,718-438-4887,12/31/2020,Active,01/29/2015
